( color, yellow )
( size, sm )
( tool, pen )
( drag,{ x: 67, y: 204.54166 } )
( drag,{ x: 35, y: 222.54166 } )
( drag,{ x: 24, y: 206.54166 } )
( drag,{ x: 22, y: 172.54166 } )
( drag,{ x: 32, y: 158.54166 } )
( drag,{ x: 48, y: 149.54166 } )
( drag,{ x: 72, y: 148.54166 } )
( drag,{ x: 79, y: 162.54166 } )
( drag,{ x: 67, y: 209.54166 } )
( drag,{ x: 50, y: 225.54166 } )
( drag,{ x: 34, y: 204.54166 } )
( drag,{ x: 34, y: 165.54166 } )
( drag,{ x: 48, y: 149.54166 } )
( drag,{ x: 58, y: 149.54166 } )
( drag,{ x: 64, y: 177.54166 } )
( drag,{ x: 48, y: 216.54166 } )
( drag,{ x: 36, y: 225.54166 } )
( drag,{ x: 32, y: 189.54166 } )
( drag,{ x: 46, y: 164.54166 } )
( drag,{ x: 59, y: 161.54166 } )
( drag,{ x: 62, y: 188.54166 } )
( drag,{ x: 58, y: 200.54166 } )
( drag,{ x: 54, y: 178.54166 } )
( drag,{ x: 56, y: 145.54166 } )
( drag,{ x: 75, y: 121.54166 } )
( drag,{ x: 80, y: 121.54166 } )
( drag,{ x: 75, y: 150.54166 } )
( drag,{ x: 64, y: 168.54166 } )
( drag,{ x: 72, y: 133.54166 } )
( drag,{ x: 106, y: 66.54166 } )
( drag,{ x: 118, y: 48.54166 } )
( drag,{ x: 94, y: 113.54166 } )
( drag,{ x: 51, y: 210.54166 } )
( drag,{ x: 34, y: 246.54166 } )
( drag,{ x: 55, y: 193.54166 } )
( drag,{ x: 112, y: 88.54166 } )
( drag,{ x: 131, y: 60.54166 } )
( drag,{ x: 131, y: 62.54166 } )
( drag,{ x: 92, y: 152.54166 } )
( drag,{ x: 64, y: 210.54166 } )
( drag,{ x: 63, y: 214.54166 } )
( drag,{ x: 82, y: 158.54166 } )
( drag,{ x: 108, y: 105.54166 } )
( drag,{ x: 127, y: 72.54166 } )
( drag,{ x: 128, y: 77.54166 } )
( drag,{ x: 96, y: 160.54166 } )
( drag,{ x: 80, y: 198.54166 } )
( drag,{ x: 94, y: 161.54166 } )
( drag,{ x: 130, y: 90.54166 } )
( drag,{ x: 159, y: 44.54166 } )
